区分１,区分２,該当数（人）,テレビや本・雑誌などの特集を見た・読んだ（％）
全体,全体,1500,37.2
児童・生徒別,小学生,500,37.4
児童・生徒別,中学生,500,38.8
児童・生徒別,高校生,500,35.4
子どもの性別,男性,745,36.5
子どもの性別,女性,755,37.9
