区分１,区分２,該当数計,機能が少ない携帯電話（キッズ携帯等）だから割合（％）
全体,全体,604,19.2
児童・生徒別,小学生,192,49.5
児童・生徒別,中学生,152,9.9
児童・生徒別,高校生,260,2.3
性別,男子,340,19.1
性別,女子,264,19.3
