区分１,区分２,該当数計,スマートフォンに依存してしまう割合（％）
全体,全体,990,62.3
児童・生徒別,小学生,134,63.4
児童・生徒別,中学生,378,67.2
児童・生徒別,高校生,478,58.2
性別,男子,495,60.4
性別,女子,495,64.2
