区分１,区分２,該当数計,有害情報サービスを除去する機能を強化して欲しい割合（％）
全体,全体,1500,41.3
児童・生徒別,小学生,500,42.8
児童・生徒別,中学生,500,46.2
児童・生徒別,高校生,500,35.0
性別,男子,745,40.1
性別,女子,755,42.5
