区分１,区分２,該当数（人）,インターネットで調べた（％）
全体,全体,1500,33.7
児童・生徒別,小学生,500,33.0
児童・生徒別,中学生,500,34.4
児童・生徒別,高校生,500,33.6
子どもの性別,男性,745,34.8
子どもの性別,女性,755,32.6
