区分１,区分２,該当数計,ゲーム割合
全体,全体,847,60.4
児童・生徒別,小学生,106,59.4
児童・生徒別,中学生,323,65.6
児童・生徒別,高校生,418,56.7
子供の性別,男性,418,68.4
子供の性別,女性,429,52.7
