区分１,区分２,該当数計,子供から相談があった割合
全体,全体,145,40.0
児童・生徒別,小学生,37,43.2
児童・生徒別,中学生,68,35.3
児童・生徒別,高校生,40,45.0
子供の性別,男性,88,34.1
子供の性別,女性,57,49.1
