年度,該当数計,ｉｏｓ（ｉPｈｏｎｅ）（％）,Aｎｄｒｏｉｄ（％）,その他（％）
28,990,53.6,45.7,0.7
27,856,55.0,43.9,1.1
26,791,58.0,38.6,3.4
