年度,該当数計,子供の所在地がわかるようにするため割合,子供にせがまれたため仕方なく持たせた割合,持たせたほうが、メディアリテラシー（＊）や情報処理能力がぐくと思ったため割合,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため割合,お祝い等で、親戚等からもらったため割合,子供の疾病等があり、大切なコミュニケーション手段として活用するため割合,保護者自身がスマートフォンにしたため割合,パソコンのかわり割合,ゲーム機の代わり割合,携帯電話にはない便利なアプリ等を使用するため割合,学校の授業、宿題等で必要なため割合,習い事や塾等で必要なた割合,その他割合
28,990,28.0,34.0,16.2,10.7,1.9,2.4,10.9,6.4,5.1,11.1,4.6,13.2,8.0
27,856,31.7,31.5,15.3,9.7,2.5,1.2,14.4,6.8,2.8,11.0,4.3,12.9,8.6
26,791,18.5,32.4,13.8,8.7,18.6,0.5,18.0,7.0,3.0,11.4,-,-,13.1
