区分１,区分２,該当数計（人）,割合計（％）,電話をする該当数（人）,電話をする割合（％）,メールをする該当数（人）,メールをする割合（％）,ＳＮＳ等のコミュニケーションアプリ該当数（人）,ＳＮＳ等のコミュニケーションアプリ割合（％）,動画を見る該当数（人）,動画を見る割合（％）,カメラ撮影該当数（人）,カメラ撮影割合（％）,ゲームをする該当数（人）,ゲームをする割合（％）,音楽を聴く該当数（人）,音楽を聴く割合（％）,インターネット該当数（人）,インターネット割合（％）,その他該当数（人）,その他割合（％）
全体,全体,1500,100.0,242,16.1,419,27.9,317,21.1,16,1.1,8,0.5,79,5.3,26,1.7,379,25.3,14,0.9
児童・生徒別,小学生,500,100.0,82,16.4,128,25.6,99,19.8,3,0.6,2,0.4,23,4.6,8,1.6,148,29.6,7,1.4
児童・生徒別,中学生,500,100.0,83,16.6,135,27.0,102,20.4,5,1.0,3,0.6,29,5.8,10,2.0,128,25.6,5,1.0
児童・生徒別,高校生,500,100.0,77,15.4,156,31.2,116,23.2,8,1.6,3,0.6,27,5.4,8,1.6,103,20.6,2,0.4
子どもの性別,男性,745,100.0,131,17.6,208,27.9,147,19.7,7,0.9,5,0.7,37,5.0,12,1.6,193,25.9,5,0.7
子どもの性別,女性,755,100.0,111,14.7,211,27.9,170,22.5,9,1.2,3,0.4,42,5.6,14,1.9,186,24.6,9,1.2
児童・生徒×子どもの性別,小学生男子,232,100.0,51,22.0,50,21.6,41,17.7,2,0.9,2,0.9,9,3.9,2,0.9,71,30.6,4,1.7
児童・生徒×子どもの性別,小学生女子,268,100.0,31,11.6,78,29.1,58,21.6,1,0.4,0,0.0,14,5.2,6,2.2,77,28.7,3,1.1
児童・生徒×子どもの性別,中学生男子,244,100.0,39,16.0,68,27.9,50,20.5,2,0.8,1,0.4,15,6.1,4,1.6,64,26.2,1,0.4
児童・生徒×子どもの性別,中学生女子,256,100.0,44,17.2,67,26.2,52,20.3,3,1.2,2,0.8,14,5.5,6,2.3,64,25.0,4,1.6
児童・生徒×子どもの性別,高校生男子,269,100.0,41,15.2,90,33.5,56,20.8,3,1.1,2,0.7,13,4.8,6,2.2,58,21.6,0,0.0
児童・生徒×子どもの性別,高校生女子,231,100.0,36,15.6,66,28.6,60,26.0,5,2.2,1,0.4,14,6.1,2,0.9,45,19.5,2,0.9
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,154,16.3,271,28.7,205,21.7,10,1.1,4,0.4,53,5.6,17,1.8,222,23.5,8,0.8
