その他（主な内容）,件数,（％）
端末やもともと備わっている管理で十分、いつでも確認できるから,5,0.9
インターネットを使用できないようにしているから,3,0.5
必要以上に制限がかかり、面倒だから,3,0.5
必要性を感じない、フィルタリングサービスを信用していないから,3,0.5
格安スマホだから加入できない,2,0.4
教育している、口頭で済むから,2,0.4
メール以外の通信をさせない等、自由に使わせていないから,2,0.4
その他の回答（これから加入予定、常識の範囲内で使用している）等,9,1.6
その他　合計,29,5.2
