その他（主な内容）,件数,（％）
塾や習い事に行く時の連絡手段,11,2.2
防犯のため,3,0.6
学校、部活で必要なため,3,0.6
固定電話として,2,0.4
その他の回答（コミュニケーションのため、契約に伴うキャンペーン）等,8,1.6
その他　合計,27,5.3
