区分１,区分２,該当数計,割合計,作っている該当数,作っている割合,作っていない該当数,作っていない割合
全体,全体,1500,100.0,896,59.7,604,40.3
児童・生徒別,小学生,500,100.0,308,61.6,192,38.4
児童・生徒別,中学生,500,100.0,348,69.6,152,30.4
児童・生徒別,高校生,500,100.0,240,48.0,260,52.0
子供の性別,男性,745,100.0,405,54.4,340,45.6
子供の性別,女性,755,100.0,491,65.0,264,35.0
児童・生徒×子供の性別,小学生男子,232,100.0,127,54.7,105,45.3
児童・生徒×子供の性別,小学生女子,268,100.0,181,67.5,87,32.5
児童・生徒×子供の性別,中学生男子,244,100.0,168,68.9,76,31.1
児童・生徒×子供の性別,中学生女子,256,100.0,180,70.3,76,29.7
児童・生徒×子供の性別,高校生男子,269,100.0,110,40.9,159,59.1
児童・生徒×子供の性別,高校生女子,231,100.0,130,56.3,101,43.7
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,554,58.7,390,41.3
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,80,61.1,51,38.9
携帯電話の購入所別,家電量販店,273,100.0,165,60.4,108,39.6
携帯電話の購入所別,インターネット販売,96,100.0,67,69.8,29,30.2
携帯電話の購入所別,その他,31,100.0,20,64.5,11,35.5
携帯電話の購入所別,わからない,25,100.0,10,40.0,15,60.0
フィルタリングサービスの加入状況別,加入している,459,100.0,339,73.9,120,26.1
フィルタリングサービスの加入状況別,加入していない,563,100.0,313,55.6,250,44.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,137,55.0,112,45.0
フィルタリングサービスの加入状況別,わからない,229,100.0,107,46.7,122,53.3
利用制限サービスの加入状況別,加入している,261,100.0,196,75.1,65,24.9
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,142,77.6,41,22.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,156,49.1,162,50.9
利用制限サービスの加入状況別,わからない,85,100.0,40,47.1,45,52.9
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,379,66.0,195,34.0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,444,65.9,230,34.1
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,56,32.9,114,67.1
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,11,15.1,62,84.9
利用状況の管理状態別,その他,9,100.0,6,66.7,3,33.3
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,368,65.9,190,34.1
説明・学習経験別,インターネットで調べた,505,100.0,352,69.7,153,30.3
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,391,72.0,152,28.0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,269,77.7,77,22.3
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,48,81.4,11,18.6
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,67,76.1,21,23.9
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,15,71.4,6,28.6
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,132,39.5,202,60.5
説明・学習経験別,その他,11,100.0,9,81.8,2,18.2
