年度,該当数計,テレビや本・雑誌などの特集を見た、読んだ割合,学校から配布される資料等を読んだ割合,インターネットで調べた割合,学校の保護者会等で行われた講演会で説明を受けた割合,販売店等から詳しく説明を受けた割合,知識のある知人から説明を受けた割合,公共施設などで開催された講座に参加した割合,特に説明を受けたり学習したことはない割合,その他割合
28,1500,37.2,36.2,33.7,23.1,5.9,3.9,1.4,22.3,0.7
27,1500,36.7,34.3,25.7,21.5,4.3,3.4,1.3,27.3,0.4
26,1500,39.6,35.8,22.1,24.9,4.9,3.3,1.7,24.0,4.8
