区分１,区分２,該当数計,親が子供を見張るようなことができない（したくない）から割合（％）
全体,全体,147,36.7
児童・生徒別,小学生,30,23.3
児童・生徒別,中学生,78,37.2
児童・生徒別,高校生,39,46.2
性別,男子,81,39.5
性別,女子,66,33.3
