年度,該当数計,割合計,電話をする割合,メールをする割合,ＳＮＳ等のコミュニケーションアプリ割合,動画をみる割合,カメラ撮影割合,ゲームをする割合,音楽を聴く割合,インターネット割合,その他割合,わからない割合
28,1500,100.0,24.1,16.5,27.4,9.1,0.5,11.5,3.1,3.8,0.7,3.3
27,1500,100.0,35.9,-,27.0,6.0,1.4,11.6,3.3,5.7,4.9,4.1
26,1500,100.0,36.8,-,18.9,5.6,1.3,12.1,3.1,9.7,9.1,3.5
