区分１,区分２,該当数計,迷惑メール防止機能割合（％）
全体,全体,1500,53.0
児童・生徒別,小学生,500,52.4
児童・生徒別,中学生,500,56.0
児童・生徒別,高校生,500,50.6
性別,男子,745,48.1
性別,女子,755,57.9
