区分１,区分２,該当数計（人）,割合計（％）,千代田区該当数（人）,千代田区割合（％）,中央区該当数（人）,中央区割合（％）,港区該当数（人）,港区割合（％）,新宿区該当数（人）,新宿区割合（％）,文京区該当数（人）,文京区割合（％）,台東区該当数（人）,台東区割合（％）,墨田区該当数（人）,墨田区割合（％）,江東区該当数（人）,江東区割合（％）,品川区該当数（人）,品川区割合（％）,目黒区該当数（人）,目黒区割合（％）,大田区該当数（人）,大田区割合（％）,世田谷区該当数（人）,世田谷区割合（％）,渋谷区該当数（人）,渋谷区割合（％）,中野区該当数（人）,中野区割合（％）,杉並区該当数（人）,杉並区割合（％）,豊島区該当数（人）,豊島区割合（％）,北区該当数（人）,北区割合（％）,荒川区該当数（人）,荒川区割合（％）,板橋区該当数（人）,板橋区割合（％）,練馬区該当数（人）,練馬区割合（％）,足立区該当数（人）,足立区割合（％）,葛飾区該当数（人）,葛飾区割合（％）,江戸川区該当数（人）,江戸川区割合（％）,八王子市該当数（人）,八王子市割合（％）,立川市該当数（人）,立川市割合（％）,武蔵野市該当数（人）,武蔵野市割合（％）,三鷹市該当数（人）,三鷹市割合（％）,青梅市該当数（人）,青梅市割合（％）,府中市該当数（人）,府中市割合（％）,昭島市該当数（人）,昭島市割合（％）,調布市該当数（人）,調布市割合（％）,町田市該当数（人）,町田市割合（％）,小金井市該当数（人）,小金井市割合（％）,小平市該当数（人）,小平市割合（％）,日野市該当数（人）,日野市割合（％）,東村山市該当数（人）,東村山市割合（％）,国分寺市該当数（人）,国分寺市割合（％）,国立市該当数（人）,国立市割合（％）,福生市該当数（人）,福生市割合（％）,狛江市該当数（人）,狛江市割合（％）,東大和市該当数（人）,東大和市割合（％）,清瀬市該当数（人）,清瀬市割合（％）,東久留米市該当数（人）,東久留米市割合（％）,武蔵村山市該当数（人）,武蔵村山市割合（％）,多摩市該当数（人）,多摩市割合（％）,稲城市該当数（人）,稲城市割合（％）,羽村市該当数（人）,羽村市割合（％）,あきる野市該当数（人）,あきる野市割合（％）,西東京市該当数（人）,西東京市割合（％）,西多摩郡瑞穂町該当数（人）,西多摩郡瑞穂町割合（％）,西多摩郡日の出町該当数（人）,西多摩郡日の出町割合（％）,西多摩郡楢原村該当数（人）,西多摩郡楢原村割合（％）,西多摩郡奥多摩町該当数（人）,西多摩郡奥多摩町割合（％）,大島町該当数（人）,大島町割合（％）,利島村該当数（人）,利島村割合（％）,新島村該当数（人）,新島村割合（％）,神津島村該当数（人）,神津島村割合（％）,三宅島三宅村該当数（人）,三宅島三宅村割合（％）,御蔵島村該当数（人）,御蔵島村割合（％）,八丈島八丈町該当数（人）,八丈島八丈町割合（％）,青ヶ島村該当数（人）,青ヶ島村割合（％）,小笠原村該当数（人）,小笠原村割合（％）
全体,全体,1500,100.0,11,0.7,17,1.1,20,1.3,30,2.0,25,1.7,17,1.1,23,1.5,56,3.7,37,2.5,28,1.9,72,4.8,107,7.1,15,1.0,24,1.6,63,4.2,17,1.1,20,1.3,16,1.1,55,3.7,78,5.2,66,4.4,33,2.2,70,4.7,87,5.6,17,1.1,23,1.5,28,1.9,11,0.7,39,2.6,19,1.3,33,2.2,62,4.1,18,1.2,30,1.2,40,2.7,30,2.0,13,0.9,10,0.7,2,0.1,9,0.6,4,0.3,10,0.7,12,0.8,10,0.7,15,1.0,23,1.5,5,0.3,8,0.5,39,2.6,2,0.1,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒別,小学生,500,100.0,6,1.2,5,1.0,7,1.4,11,2.2,10,2.0,7,1.4,5,1.0,18,3.6,10,2.0,6,1.2,23,4.6,43,8.6,6,1.2,7,1.4,18,3.6,6,1.2,9,1.8,6,1.2,17,3.4,28,5.6,21,4.2,8,1.6,23,4.6,23,4.6,2,0.4,6,1.2,11,2.2,3,0.6,20,4.0,6,1.2,9,1.8,19,3.8,4,0.8,14,0.8,18,3.6,10,2.0,4,0.8,1,0.2,0,0.0,4,0.8,1,0.2,4,0.8,1,0.2,7,1.4,6,1.2,9,1.8,5,1.0,3,0.6,10,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒別,中学生,500,100.0,3,0.6,8,1.6,9,1.8,10,2.0,8,1.6,4,0.8,8,1.6,15,3.0,16,3.2,12,2.4,27,5.4,35,7.0,4,0.8,7,1.4,21,4.2,5,1.0,5,1.0,5,1.0,18,3.6,23,4.6,24,4.8,10,2.0,23,4.6,33,6.6,10,2.0,10,2.0,6,1.2,3,0.6,10,2.0,7,1.4,13,2.6,23,4.6,5,1.0,6,1.0,13,2.6,11,2.2,1,0.2,3,0.6,2,0.4,2,0.4,3,0.6,1,0.2,7,1.4,1,0.2,7,1.4,6,1.2,0,0.0,3,0.6,11,2.2,2,0.4,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒別,高校生,500,100.0,2,0.4,4,0.8,4,0.8,9,1.8,7,1.4,6,1.2,10,2.0,23,4.6,11,2.2,10,2.0,22,4.4,29,5.8,5,1.0,10,2.0,24,4.8,6,1.2,6,1.2,5,1.0,20,4.0,27,5.4,21,4.2,15,3.0,24,4.8,31,6.2,5,1.0,7,1.4,11,2.2,5,1.0,9,1.8,6,1.2,11,2.2,20,4.0,9,1.8,10,1.8,9,1.8,9,1.8,8,1.6,6,1.2,0,0.0,3,0.6,0,0.0,5,1.0,4,0.8,2,0.4,2,0.4,8,1.6,0,0.0,2,0.4,18,3.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
子供の性別,男性,745,100.0,5,0.7,9,1.2,8,1.1,19,2.6,10,1.3,8,1.1,16,2.1,26,3.5,18,2.4,19,2.6,37,5.0,54,7.2,4,0.5,15,2.0,37,5.0,9,1.2,10,1.3,7,0.9,23,3.1,36,4.8,29,3.9,16,2.1,34,4.6,46,6.2,6,0.8,10,1.3,16,2.1,5,0.7,19,2.6,8,1.1,15,2.0,30,4.0,10,1.3,17,1.3,17,2.3,12,1.6,8,1.1,4,0.5,1,0.1,4,0.5,3,0.4,4,0.5,6,0.8,7,0.9,9,1.2,13,1.7,1,0.1,6,0.8,17,2.3,2,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
子供の性別,女性,755,100.0,6,0.8,8,1.1,12,1.6,11,1.5,15,2.0,9,1.2,7,0.9,30,4.0,19,2.5,9,1.2,35,4.6,53,7.0,11,1.5,9,1.2,26,3.4,8,1.1,10,1.3,9,1.2,32,4.2,42,5.6,37,4.9,17,2.3,36,4.8,41,5.4,11,1.5,13,1.7,12,1.6,6,0.8,20,2.6,11,1.5,18,2.4,32,4.2,8,1.1,13,1.1,23,3.0,18,2.4,5,0.7,6,0.8,1,0.1,5,0.7,1,0.1,6,0.8,6,0.8,3,0.4,6,0.8,10,1.3,4,0.5,2,0.3,22,2.9,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,小学生男子,232,100.0,3,1.3,2,0.9,1,0.4,9,3.9,3,1.3,2,0.9,4,1.7,8,3.4,6,2.6,5,2.2,7,3.0,20,8.6,1,0.4,4,1.7,10,4.3,3,1.3,5,2.2,3,1.3,7,3.0,12,5.2,9,3.9,3,1.3,11,4.7,9,3.9,1,0.4,3,1.3,8,3.4,3,1.3,9,3.9,2,0.9,4,1.7,8,3.4,1,0.4,8,0.4,6,2.6,4,1.7,2,0.9,0,0.0,0,0.0,2,0.9,0,0.0,2,0.9,1,0.4,6,2.6,3,1.3,4,1.7,1,0.4,2,0.9,5,2.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,小学生女子,268,100.0,3,1.1,3,1.1,6,2.2,2,0.7,7,2.6,5,1.9,1,0.4,10,3.7,4,1.5,1,0.4,16,6.0,23,8.6,5,1.9,3,1.1,8,3.0,3,1.1,4,1.5,3,1.1,10,3.7,16,6.0,12,4.5,5,1.9,12,4.5,14,5.2,1,0.4,3,1.1,3,1.1,0,0.0,11,4.1,4,1.5,5,1.9,11,4.1,3,1.1,6,1.1,12,4.5,6,2.2,2,0.7,1,0.4,0,0.0,2,0.7,1,0.4,2,0.7,0,0.0,1,0.4,3,1.1,5,1.9,4,1.5,1,0.4,5,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,中学生男子,244,100.0,0,0.0,5,2.0,4,1.6,4,1.6,3,1.2,0,0.0,4,1.6,8,3.3,7,2.9,8,3.3,16,6.6,15,6.1,3,1.2,5,2.0,14,5.7,2,0.8,1,0.4,2,0.8,8,3.3,10,4.1,9,3.7,4,1.6,12,4.9,19,7.8,3,1.2,4,1.6,1,0.4,0,0.0,7,2.9,2,0.8,7,2.9,12,4.9,3,1.2,3,1.2,6,2.5,4,1.6,1,0.4,1,0.4,1,0.4,2,0.8,3,1.2,1,0.4,2,0.8,1,0.4,6,2.5,4,1.6,0,0.0,3,1.2,2,0.8,2,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,中学生女子,256,100.0,3,1.2,3,1.2,5,2.0,6,2.3,5,2.0,4,1.6,4,1.6,7,2.7,9,3.5,4,1.6,11,4.3,20,7.8,1,0.4,2,0.8,7,2.7,3,1.2,4,1.6,3,1.2,10,3.9,13,5.1,15,5.9,6,2.3,11,4.3,14,5.5,7,2.7,6,2.3,5,2.0,3,1.2,3,1.2,5,2.0,6,2.3,11,4.3,2,0.8,3,0.8,7,2.7,7,2.7,0,0.0,2,0.8,1,0.4,0,0.0,0,0.0,0,0.0,5,2.0,0,0.0,1,0.4,2,0.8,0,0.0,0,0.0,9,3.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
