区分１,区分２,該当数計,割合計,未就学時該当数,未就学時割合,小学１年生～２年生該当数,小学１年生～２年生割合,小学３年生～４年生該当数,小学３年生～４年生割合,小学５年生～６年生該当数,小学５年生～６年生割合,中学１年生該当数,中学１年生割合,中学２年生該当数,中学２年生割合,中学３年生該当数,中学３年生割合,高校１年生該当数,高校１年生割合,高校２年生該当数,高校２年生割合,高校３年生該当数,高校３年生割合
全体,全体,510,100.0,16,3.1,194,38.0,185,36.3,73,14.3,29,5.7,2,0.4,6,1.2,3,0.6,0,0.0,2,0.4
児童・生徒別,小学生,366,100.0,14,3.8,172,47.0,146,39.9,34,9.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒別,中学生,122,100.0,2,1.6,21,17.2,36,29.5,31,25.4,27,22.1,2,1.6,3,2.5,0,0.0,0,0.0,0,0.0
児童・生徒別,高校生,22,100.0,0,0.0,1,4.5,3,13.6,8,36.4,2,9.1,0,0.0,3,13.6,3,13.6,0,0.0,2,9.1
子供の性別,男性,250,100.0,8,3.2,101,40.4,88,35.2,30,12.0,16,6.4,2,0.8,3,1.2,0,0.0,0,0.0,2,0.8
子供の性別,女性,260,100.0,8,3.1,93,35.8,97,37.3,43,16.5,13,5.0,0,0.0,3,1.2,3,1.2,0,0.0,0,0.0
児童・生徒×子供の性別,小学生男子,176,100.0,8,4.5,88,50.0,67,38.1,13,7.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,小学生女子,190,100.0,6,3.2,84,44.2,79,41.6,21,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,中学生男子,61,100.0,0,0.0,12,19.7,19,31.1,12,19.7,14,23.0,2,3.3,2,3.3,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,中学生女子,61,100.0,2,3.3,9,14.8,17,27.9,19,31.1,13,21.3,0,0.0,1,1.6,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,高校生男子,13,100.0,0,0.0,1,7.7,2,15.4,5,38.5,2,15.4,0,0.0,1,7.7,0,0.0,0,0.0,2,15.4
児童・生徒×子供の性別,高校生女子,9,100.0,0,0.0,0,0.0,1,11.1,3,33.3,0,0.0,0,0.0,2,22.2,3,33.3,0,0.0,0,0.0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,367,100.0,12,3.3,141,38.4,138,37.6,48,13.1,18,4.9,2,0.5,5,1.4,2,0.5,0,0.0,1,0.3
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,35,100.0,3,8.6,17,48.6,10,28.6,4,11.4,1,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,家電量販店,89,100.0,0,0.0,29,32.6,34,38.2,17,19.1,7,7.9,0,0.0,1,1.1,0,0.0,0,0.0,1,1.1
携帯電話の購入所別,インターネット販売,3,100.0,0,0.0,0,0.0,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0,0,0.,0,0.0,0,0.0
携帯電話の購入所別,その他,8,100.0,0,0.0,6,75.0,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,わからない,8,100.0,1,12.5,1,12.5,1,12.5,2,25.0,2,25.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入している,95,100.0,4,4.2,25,26.3,36,37.9,18,18.9,9,9.5,0,0.0,2,2.1,0,0.0,0,0.0,1,1.1
フィルタリングサービスの加入状況別,加入していない,135,100.0,0,0.0,45,33.3,54,40.0,22,16.3,9,6.7,1,0.7,1,0.7,2,1.5,0,0.0,1,0.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,223,100.0,10,4.5,100,44.8,79,35.4,26,11.7,8,3.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,わからない,57,100.0,2,3.5,24,42.1,16,28.1,7,12.3,3,5.3,1,1.8,3,5.3,1,1.8,0,0.0,0,0.0
利用制限サービスの加入状況別,加入している,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,わからない,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,288,100.0,7,2.4,112,38.9,111,38.5,38,13.2,15,5.2,1,0.3,1,0.3,1,0.3,0,0.0,2,0.7
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,170,100.0,7,4.1,62,36.5,54,31.8,30,17.6,13,7.6,1,0.6,3,1.8,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,29,100.0,1,3.4,10,34.5,12,41.4,3,10.3,1,3.4,0,0.0,0,0.0,2,6.9,0,0.0,0,0.0
利用状況の管理状態別,子供の利用状況に関心がない,20,100.0,1,5.0,10,50.0,5,25.0,2,10.0,0,0.0,0,0.0,2,10.0,0,0.0,0,0.0,0,0.0
利用状況の管理状態別,その他,3,100.0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,207,100.0,4,1.9,76,36.7,87,42.0,23,11.1,11,5.3,0,0.0,4,1.9,1,0.5,0,0.0,1,0.5
