区分１,区分２,該当数計,必要だ割合（％）,必要ない割合（％）
全体,全体,1500,75.3,24.7
児童・生徒別,小学生,500,80.8,19.2
児童・生徒別,中学生,500,80.8,19.2
児童・生徒別,高校生,500,64.2,35.8
性別,男子,745,71.8,28.2
性別,女子,755,78.7,21.3
