区分１,区分２,該当数計,ＳＮＳ（動画形式）※Ｙｏｕｔｕｂｅ、ツイキャスなど割合
全体,全体,847,53.6
児童・生徒別,小学生,106,47.2
児童・生徒別,中学生,323,49.8
児童・生徒別,高校生,418,58.1
子供の性別,男性,418,52.2
子供の性別,女性,429,55.0
