その他（主な内容）,件数,（％）
禁止ばかりでなく、正しい知識指導、在り方を考える授業の実施,4,0.3
トラブルを未然に防ぐ機能の強化（規則、罰則を含む）,2,0.1
所持や使用範囲の年齢制限をする,2,0.1
その他の回答（警察との協力、問題発生時の対処法の教示）等,7,0.5
その他　合計,15,1
