年度,該当数計,守られている割合（％）,だいたい守られている割合（％）,あまり守られていない割合（％）,守られていない割合（％）,わからない割合（％）
28,180,42.2,46.1,4.4,1.1,6.1
27,123,50.4,37.4,5.7,0.8,5.7
