区分１,区分２,該当数計,ＳＮＳ※ＬＩＮＥ、Ｆａｃｅｂｏｏｋなど割合,ＳＮＳ（動画形式）※Ｙｏｕｔｕｂｅ、ツイキャスなど割合,ゲーム割合,学習用割合,その他割合,わからない割合
全体,全体,847,90.8,53.6,60.4,17.2,0.8,1.5
児童・生徒別,小学生,106,77.4,47.2,59.4,17.0,0.0,0.0
児童・生徒別,中学生,323,89.2,49.8,65.6,14.9,0.6,0.9
児童・生徒別,高校生,418,95.5,58.1,56.7,19.1,1.2,2.4
子供の性別,男性,418,91.1,52.2,68.4,14.6,0.2,1.2
子供の性別,女性,429,90.4,55.0,52.7,19.8,1.4,1.9
