区分１,区分２,該当数計,子供にせがまれたため仕方なく持たせた割合
全体,全体,510,2.7
児童・生徒別,小学生,366,1.6
児童・生徒別,中学生,122,4.9
児童・生徒別,高校生,22,9.1
子供の性別,男性,250,2.0
子供の性別,女性,260,3.5
