区分１,区分２,該当数計,子供がインターネット上の有害情報を見ないよう、保護者として適切に管理できるから割合（％）
全体,全体,563,17.9
児童・生徒別,小学生,143,18.2
児童・生徒別,中学生,172,20.3
児童・生徒別,高校生,248,16.1
性別,男子,296,15.9
性別,女子,267,20.2
