年度,該当数計,割合計,未就学時割合,小学１年生～２年生割合,小学３年生～４年生割合,小学５年生～６年生割合,中学１年生割合,中学２年生割合,中学３年生割合,高校１年生割合,高校２年生割合,高校３年生割合
28,510,100.0,3.1,38.0,36.3,14.3,5.7,0.4,1.2,0.6,0.0,0.4
27,654,100.0,1.4,29.4,35.6,19.1,10.1,0.9,1.7,1.4,0.5,0.0
26,725,100.0,1.1,25.1,33.1,21.0,12.4,2.2,2.9,1.8,0.4,0.0
