性別,小学生４年生,小学生５年生,小学生６年生,中学生１年生,中学生２年生,中学生３年生,高校生１年生,高校生２年生,高校生３年生,合計
男子（人）,78,79,75,65,89,90,91,79,99,745
男子（％）,10.5,10.6,10.1,8.7,11.9,12.1,12.2,10.6,13.3,100
女子（人）,68,95,105,85,90,81,73,78,80,755
女子（％）,9,12.6,13.9,11.3,11.9,10.7,9.7,10.3,10.6,100
合計（人）,146,174,180,150,179,171,164,157,179,1500
合計（％）,9.7,11.6,12,10,11.9,11.4,10.9,10.5,11.9,100
