区分１,区分２,該当数計,割合計,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから該当数,子供を信用しており、ルールを作らなくても、子供が適正な利用をしているから割合,ルールを作っても、守れないから該当数,ルールを作っても、守れないから割合,ルールを作ろうとしても、子供とけんかになってしまうから該当数,ルールを作ろうとしても、子供とけんかになってしまうから割合,話し合ってルールを作る時間がないから該当数,話し合ってルールを作る時間がないから割合,ルール作りが推奨されていること自体を知らなかった該当数,ルール作りが推奨されていること自体を知らなかった割合,どんなルールを作ればいいのかよく分らないから該当数,どんなルールを作ればいいのかよく分らないから割合,親も自由に使いたいから、ルールを決めたくない該当数,親も自由に使いたいから、ルールを決めたくない割合,機能が少ない携帯電話（キッズ携帯等）だから該当数,機能が少ない携帯電話（キッズ携帯等）だから割合,その他該当数,その他割合
全体,全体,604,100.0,327,54.1,120,19.9,34,5.6,18,3.0,6,1.0,39,6.5,21,3.5,116,19.2,17,2.8
児童・生徒別,小学生,192,100.0,75,39.1,21,10.9,5,2.6,3,1.6,1,0.5,13,6.8,6,3.1,95,49.5,3,1.6
児童・生徒別,中学生,152,100.0,82,53.9,41,27.0,13,8.6,5,3.3,1,0.7,9,5.9,5,3.3,15,9.9,3,2.0
児童・生徒別,高校生,260,100.0,170,65.4,58,22.3,16,6.2,10,3.8,4,1.5,17,6.5,10,3.8,6,2.3,11,4.2
子どもの性別,男性,340,100.0,181,53.2,74,21.8,16,4.7,9,2.6,5,1.5,26,7.6,10,2.9,65,19.1,9,2.6
子どもの性別,女性,264,100.0,146,55.3,46,17.4,18,6.8,9,3.4,1,0.4,13,4.9,11,4.2,51,19.3,8,3.0
児童・生徒×子どもの性別,小学生男子,105,100.0,38,36.2,13,12.4,2,1.9,2,1.9,1,1.0,8,7.6,1,1.0,54,51.4,0,0.0
児童・生徒×子どもの性別,小学生女子,87,100.0,37,42.5,8,9.2,3,3.4,1,1.1,0,0.0,5,5.7,5,5.7,41,47.1,3,3.4
児童・生徒×子どもの性別,中学生男子,76,100.0,41,53.9,22,28.9,8,10.5,2,2.6,1,1.3,6,7.9,3,3.9,7,9.2,2,2.6
児童・生徒×子どもの性別,中学生女子,76,100.0,41,53.9,19,25.0,5,6.6,3,3.9,0,0.0,3,3.9,2,2.6,8,10.5,1,1.3
児童・生徒×子どもの性別,高校生男子,159,100.0,102,64.2,39,24.5,6,3.8,5,3.1,3,1.9,12,7.5,6,3.8,4,2.5,7,4.4
児童・生徒×子どもの性別,高校生女子,101,100.0,68,67.3,19,18.8,10,9.9,5,5.0,1,1.0,5,5.0,4,4.0,2,2.0,4,4.0
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,390,100.0,213,54.6,77,19.7,21,5.4,13,3.3,3,0.8,20,5.1,15,3.8,76,19.5,9,2.3
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,51,100.0,23,45.1,8,15.7,4,7.8,2,3.9,0,0.0,4,7.8,1,2.0,12,23.5,1,2.0
携帯電話の購入場所別,家電量販店,108,100.0,64,59.3,21,19.4,7,6.5,2,1.9,3,2.8,7,6.5,1,0.9,21,19.4,3,2.8
携帯電話の購入場所別,インターネット販売,29,100.0,16,55.2,12,41.4,1,3.4,1,3.4,0,0.0,3,10.3,2,6.9,1,3.4,1,3.4
携帯電話の購入場所別,その他,11,100.0,5,45.5,1,9.1,0,0.0,0,0.0,0,0.0,2,18.2,1,9.1,3,27.3,2,18.2
携帯電話の購入場所別,わからない,15,100.0,6,40.0,1,6.7,1,6.7,0,0.0,0,0.0,3,20.0,1,6.7,3,20.0,1,6.7
フィルタリングサービスの加入状況別,加入している,120,100.0,76,63.3,30,25.0,8,6.7,3,2.5,2,1.7,9,7.5,3,2.5,9,7.5,4,3.3
フィルタリングサービスの加入状況別,加入していない,250,100.0,160,64.0,60,24.0,13,5.2,7,2.8,0,0.0,13,5.2,9,3.6,16,6.4,7,2.8
