区分１,区分２,該当数（人）,学校から配布される資料等を読んだ割合（％）
全体,全体,1500,36.2
児童・生徒別,小学生,500,33.2
児童・生徒別,中学生,500,41.4
児童・生徒別,高校生,500,34.0
子どもの性別,男性,745,33.2
子どもの性別,女性,755,39.2
