区分１,区分２,該当数計,割合計,子供の所在地がわかるようにするため該当数,子供の所在地がわかるようにするため割合,子供にせがまれたため仕方なく持たせた該当数,子供にせがまれたため仕方なく持たせた割合,持たせたほうが、メディアリテラシー（＊）や情報処理能力がぐくと思ったため該当数,持たせたほうが、メディアリテラシー（＊）や情報処理能力がぐくと思ったため割合,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため該当数,子供の要望ではないが友達が持っており、仲間はずれにされないか心配なため割合,お祝い等で、親戚等からもらったため該当数,お祝い等で、親戚等からもらったため割合,子供の疾病等があり、大切なコミュニケーション手段として活用するため該当数,子供の疾病等があり、大切なコミュニケーション手段として活用するため割合,保護者自身がスマートフォンにしたため該当数,保護者自身がスマートフォンにしたため割合,パソコンの代わり該当数,パソコンのかわり割合,ゲーム機の代わり該当数,ゲーム機の代わり割合,携帯電話にはない便利なアプリ等を使用するため該当数,携帯電話にはない便利なアプリ等を使用するため割合,学校の授業、宿題等で必要なため該当数,学校の授業、宿題等で必要なため割合,習い事や塾等で必要なため該当数,習い事や塾等で必要なた割合,店員に勧められた該当数,店員に進められた割合,その他該当数,その他割合
全体,全体,990,100.0,277,28.0,337,34.0,160,16.2,106,10.7,19,1.9,24,2.4,108,10.9,63,6.4,50,5.1,110,11.1,46,4.6,131,13.2,5,0.5,74,7.5
児童・生徒別,小学生,134,100.0,62,46.3,23,17.2,19,14.2,6,4.5,0,0.0,6,4.5,8,6.0,12,9.0,13,9.7,29,21.6,1,0.7,27,20.1,0,0.0,11,8.2
児童・生徒別,中学生,378,100.0,109,28.8,142,37.6,65,17.2,46,12.2,10,2.6,11,2.9,39,10.3,24,6.3,24,6.3,38,10.1,18,4.8,56,14.8,3,0.8,24,6.3
児童・生徒別,高校生,478,100.0,106,22.2,172,36.0,76,15.9,54,11.3,9,1.9,7,1.5,61,12.8,27,5.6,13,2.7,43,9.0,27,5.6,48,10.0,2,0.4,39,8.2
子供の性別,男性,495,100.0,131,26.5,160,32.3,89,18.0,50,10.1,13,2.6,13,2.6,43,8.7,33,6.7,33,6.7,44,8.9,24,4.8,57,11.5,3,0.6,34,6.9
子供の性別,女性,495,100.0,146,29.5,177,35.8,71,14.3,56,11.3,6,1.2,11,2.2,65,13.1,30,6.1,17,3.4,66,13.3,22,4.4,74,14.9,2,0.4,40,8.1
児童・生徒×子供の性別,小学生男子,56,100.0,28,50.0,8,14.3,9,16.1,3,5.4,0,0.0,5,8.9,2,3.6,4,7.1,5,8.9,8,14.3,1,1.8,13,23.2,0,0.0,2,3.6
児童・生徒×子供の性別,小学生女子,78,100.0,34,43.6,15,19.2,10,12.8,3,3.8,0,0.0,1,1.3,6,7.7,8,10.3,8,10.3,21,26.9,0,0.0,14,17.9,0,0.0,9,11.5
児童・生徒×子供の性別,中学生男子,183,100.0,51,27.9,61,33.3,31,16.9,22,12.0,8,4.4,5,2.7,19,10.4,7,3.8,17,9.3,15,8.2,7,3.8,24,13.1,2,1.1,11,6.0
児童・生徒×子供の性別,中学生女子,195,100.0,58,29.7,81,41.5,34,17.4,24,12.3,2,1.0,6,3.1,20,10.3,17,8.7,7,3.6,23,11.8,11,5.6,32,16.4,1,0.5,13,6.7
児童・生徒×子供の性別,高校生男子,256,100.0,52,20.3,91,35.5,49,19.1,25,9.8,5,2.0,3,1.2,22,8.6,22,8.6,11,4.3,21,8.2,16,6.3,20,7.8,1,0.4,21,8.2
児童・生徒×子供の性別,高校生女子,222,100.0,54,24.3,81,36.5,27,12.2,29,13.1,4,1.8,4,1.8,39,17.6,5,2.3,2,0.9,22,9.9,11,5.0,28,12.6,1,0.5,18,8.1
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,577,100.0,177,30.7,203,35.2,93,16.1,67,11.6,10,1.7,16,2.8,61,10.6,33,5.7,26,4.5,66,11.4,22,3.8,69,12.0,3,0.5,38,6.6
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,96,100.0,19,19.8,29,30.2,20,20.8,8,8.3,2,2.1,1,1.0,16,16.7,6,6.3,8,8.3,14,14.6,5,5.2,13,13.5,0,0.0,7,7.3
携帯電話の購入所別,家電量販店,184,100.0,49,26.6,69,37.5,26,14.1,20,10.9,5,2.7,3,1.6,23,12.5,16,8.7,10,5.4,12,6.5,9,4.9,26,14.1,1,0.5,17,9.2
携帯電話の購入所別,インターネット販売,93,100.0,24,25.8,32,34.4,15,16.1,7,7.5,2,2.2,3,3.2,6,6.5,8,8.6,5,5.4,12,12.9,9,9.7,18,19.4,0,0.0,4,4.3
携帯電話の購入所別,その他,23,100.0,5,21.7,1,4.3,5,21.7,2,8.7,0,0.0,0,0.0,2,8.7,0,0.0,1,4.3,5,21.7,1,4.3,3,13.0,0,0.0,5,21.7
携帯電話の購入所別,わからない,17,100.0,3,17.6,3,17.6,1,5.9,2,11.8,0,0.0,1,5.9,0,0.0,0,0.0,0,0.0,1,5.9,0,0.0,2,11.8,1,5.9,3,17.6
フィルタリングサービスの加入状況別,加入している,364,100.0,120,33.0,117,32.1,61,16.8,32,8.8,5,1.4,12,3.3,50,13.7,20,5.5,20,5.5,42,11.5,19,5.2,55,15.1,4,1.1,37,10.2
フィルタリングサービスの加入状況別,加入していない,428,100.0,113,26.4,145,33.9,83,19.4,57,13.3,7,1.6,9,2.1,46,10.7,35,8.2,24,5.6,54,12.6,17,4.0,58,13.6,1,0.2,18,4.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,26,100.0,13,50.0,6,23.1,3,11.5,2,7.7,2,7.7,1,3.8,3,11.5,1,3.8,0,0.0,1,3.8,5,19.2,2,7.7,0,0.0,0,0.0
フィルタリングサービスの加入状況別,わからない,172,100.0,31,18.0,69,40.1,13,7.6,15,8.7,5,2.9,2,1.2,9,5.2,7,4.1,6,3.5,13,7.6,5,2.9,16,9.3,0,0.0,19,11.0
利用制限サービスの加入状況別,加入している,261,100.0,91,34.9,91,34.9,39,14.9,25,9.6,4,1.5,6,2.3,28,10.7,15,5.7,13,5.0,24,9.2,9,3.4,39,14.9,2,0.8,23,8.8
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,58,31.7,54,29.5,34,18.6,24,13.1,3,1.6,6,3.3,25,13.7,13,7.1,13,7.1,31,16.9,16,8.7,26,14.2,2,1.1,19,10.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,60,18.9,114,35.8,65,20.4,40,12.6,7,2.2,7,2.2,43,13.5,25,7.9,20,6.3,40,12.6,13,4.1,41,12.9,0,0.0,17,5.3
