区分１,区分２,該当数（人）,３０分未満（％）,３０分以上１時間未満（％）,１時間以上２時間未満（％）,２時間以上３時間未満（％）,３時間以上４時間未満（％）,４時間以上５時間未満（％）,５時間以上（％）
全体,全体,1500,24.7,24.5,28.9,13.3,5.1,1.3,2.2
児童・生徒別,小学生,500,22.8,24.4,29.4,13.8,6.4,0.8,2.4
児童・生徒別,中学生,500,24.2,25.2,29.4,12.0,5.0,2.2,2.0
児童・生徒別,高校生,500,27.0,24.0,28.0,14.0,3.8,1.0,2.2
性別,男子,745,23.8,25.5,28.1,14.6,5.1,1.3,1.6
性別,女子,755,25.6,23.6,29.8,11.9,5.0,1.3,2.8
