区分１,区分２,該当数計,友達が使用していると、つられて使用してしまうから割合（％）
全体,全体,147,41.5
児童・生徒別,小学生,30,36.7
児童・生徒別,中学生,78,47.4
児童・生徒別,高校生,39,33.3
性別,男子,81,33.3
性別,女子,66,51.5
