区分１,区分２,該当数計,子供の所在地がわかるようにするため割合
全体,全体,990,28.0
児童・生徒別,小学生,134,46.3
児童・生徒別,中学生,378,28.8
児童・生徒別,高校生,478,22.2
子供の性別,男性,495,26.5
子供の性別,女性,495,29.5
