その他（主な内容）,件数,（％）
友達間の使用を禁止、または制限しているから,6,1.6
特に理由はない,4,1.1
子供を信用しているから,1,0.3
家庭のルールを守れば非常識はないと思うから,1,0.3
友達には、携帯電話・スマートフォンを持っていないことにしている,1,0.3
その他　合計,13,3.5
