年度,該当数計,携帯電話（ガラホ、ＰＨＳキッズケータイも含む）割合（％）,スマートフォン割合（％）,両方利用している割合（％）
28,1500,34.0,64.7,1.3
27,1500,42.9,56.4,0.7
26,1500,47.3,51.7,1.1
