区分１,区分２,該当数計,インターネットの使い方について、子供を信用しているから割合（％）
全体,全体,563,49.7
児童・生徒別,小学生,143,30.8
児童・生徒別,中学生,172,48.8
児童・生徒別,高校生,248,61.3
性別,男子,296,48.3
性別,女子,267,51.3
