区分１,区分２,該当数計,友達の画像をサイト等にアップする時は、本人に許可をもらう割合（％）
全体,全体,180,24.4
児童・生徒別,小学生,77,20.8
児童・生徒別,中学生,69,27.5
児童・生徒別,高校生,34,26.5
性別,男子,73,24.7
性別,女子,107,24.3
