区分１,区分２,該当数計,割合計,ある該当数,ある割合,ない該当数,ない割合,わからない該当数,わからない割合
全体,全体,1500,100.0,145,9.7,1136,75.7,219,14.6
児童・生徒別,小学生,500,100.0,37,7.4,423,84.6,40,8.0
児童・生徒別,中学生,500,100.0,68,13.6,364,72.8,68,13.6
児童・生徒別,高校生,500,100.0,40,8.0,349,69.8,111,22.2
子供の性別,男性,745,100.0,88,11.8,560,75.2,97,13.0
子供の性別,女性,755,100.0,57,7.5,576,76.3,122,16.2
児童・生徒×子供の性別,小学生男子,232,100.0,20,8.6,195,84.1,17,7.3
児童・生徒×子供の性別,小学生女子,268,100.0,17,6.3,228,85.1,23,8.6
児童・生徒×子供の性別,中学生男子,244,100.0,43,17.6,172,70.5,29,11.9
児童・生徒×子供の性別,中学生女子,256,100.0,25,9.8,192,75.0,39,15.2
児童・生徒×子供の性別,高校生男子,269,100.0,25,9.3,193,71.7,51,19.0
児童・生徒×子供の性別,高校生女子,231,100.0,15,6.5,156,67.5,60,26.0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,88,9.3,722,76.5,134,14.2
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,12,9.2,101,77.1,18,13.7
携帯電話の購入所別,家電量販店,273,100.0,30,11.0,203,74.4,40,14.7
携帯電話の購入所別,インターネット販売,96,100.0,11,11.5,71,74.0,14,14.6
携帯電話の購入所別,その他,31,100.0,3,9.7,24,77.4,4,12.9
携帯電話の購入所別,わからない,25,100.0,1,4.0,15,60.0,9,36.0
フィルタリングサービスの加入状況別,加入している,459,100.0,56,12.2,353,76.9,50,10.9
フィルタリングサービスの加入状況別,加入していない,563,100.0,52,9.2,437,77.6,74,13.1
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,17,6.8,219,88.0,13,5.2
フィルタリングサービスの加入状況別,わからない,229,100.0,20,8.7,127,55.5,82,35.8
利用制限サービスの加入状況別,加入している,261,100.0,40,15.3,193,73.9,28,10.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,30,16.4,127,69.4,26,14.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,26,8.2,241,75.8,51,16.0
利用制限サービスの加入状況別,わからない,85,100.0,7,8.2,42,49.4,36,42.4
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,43,7.5,493,85.9,38,6.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,69,10.2,496,73.6,109,16.2
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,24,14.1,101,59.4,45,26.5
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,7,9.6,42,57.5,24,32.9
利用状況の管理状態別,その他,9,100.0,2,22.2,4,44.4,3,33.3
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,53,9.5,427,76.5,78,14.0
説明・学習経験別,インターネットで調べた,505,100.0,68,13.5,373,73.9,64,12.7
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,54,9.9,431,79.4,58,10.7
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,36,10.4,274,79.2,36,10.4
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,9,15.3,40,67.8,10,16.9
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,9,10.2,71,80.7,8,9.1
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,3,14.3,15,71.4,3,14.3
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,21,6.3,255,76.3,58,17.4
説明・学習経験別,その他,11,100.0,1,9.1,8,72.7,2,18.2
