区分１,区分２,該当数計,高額のゲーム代（アイテム購入代など）の請求が届いた割合
全体,全体,57,22.8
児童・生徒別,小学生,23,30.4
児童・生徒別,中学生,20,20.0
児童・生徒別,高校生,14,14.3
子供の性別,男性,41,26.8
子供の性別,女性,16,12.5
