区分１,区分２,該当数計,ＳＮＳを使用し、友達とトラブルになる割合（％）
全体,全体,990,41.3
児童・生徒別,小学生,134,48.5
児童・生徒別,中学生,378,49.2
児童・生徒別,高校生,478,33.1
性別,男子,495,34.5
性別,女子,495,48.1
