区分１,区分２,該当数計,守られている割合（％）,だいたい守られている割合（％）,あまり守られていない割合（％）,守られていない割合（％）,わからない割合（％）
全体,全体,180,42.2,46.1,4.4,1.1,6.1
児童・生徒別,小学生,77,54.5,32.5,2.6,2.6,7.8
児童・生徒別,中学生,69,39.1,52.2,5.8,0.0,2.9
児童・生徒別,高校生,34,20.6,64.7,5.9,0.0,8.8
性別,男子,73,34.2,49.3,6.8,2.7,6.8
性別,女子,107,47.7,43.9,2.8,0.0,5.6
