区分１,区分２,該当数（人）,利用状況の把握及び監督もできている（％）,利用状況は把握できているが、監督まではできていない（％）,利用状況を把握しておらず、監督もできていない（％）,子供の利用状況に関心がない（％）,その他（％）
全体,全体,1500,38.3,44.9,11.3,4.9,0.6
児童・生徒別,小学生,500,58.0,31.4,5.4,4.6,0.6
児童・生徒別,中学生,500,34.4,52.4,9.6,3.4,0.2
児童・生徒別,高校生,500,22.4,51.0,19.0,6.6,1.0
子どもの性別,男性,745,36.4,45.1,12.3,5.4,0.8
子どもの性別,女性,755,40.1,44.8,10.3,4.4,0.4
