区分１,区分２,該当数計,利用する際のマナー（誹謗中傷することは書かない等）割合（％）
全体,全体,180,49.4
児童・生徒別,小学生,77,54.5
児童・生徒別,中学生,69,44.9
児童・生徒別,高校生,34,47.1
性別,男子,73,39.7
性別,女子,107,56.1
