性別,小学生１年生,小学生２年生,小学生３年生,小学生４年生,小学生５年生,小学生６年生,中学生１年生,中学生２年生,中学生３年生,高校生１年生,高校生２年生,高校生３年生,合計
男子（人）,81,72,74,76,86,90,75,93,72,85,94,99,997
男子（％）,8.1,7.2,7.4,7.6,8.6,9,7.5,9.3,7.2,8.5,9.4,9.9,100
女子（人）,79,83,84,76,83,77,70,90,86,84,90,101,1003
女子（％）,7.9,8.3,8.4,7.6,8.3,7.7,7,9,8.6,8.4,9,10.1,100
合計（人）,160,155,158,152,169,167,145,183,158,169,184,200,2000
合計（％）,8,7.8,7.9,7.6,8.5,8.4,7.3,9.2,7.9,8.5,9.2,10,100
