区分１,区分２,該当数計,ある割合,ない割合,わからない割合
全体,全体,1500,9.7,75.7,14.6
児童・生徒別,小学生,500,7.4,84.6,8.0
児童・生徒別,中学生,500,13.6,72.8,13.6
児童・生徒別,高校生,500,8.0,69.8,22.2
子供の性別,男性,745,11.8,75.2,13.0
子供の性別,女性,755,7.5,76.3,16.2
