年度,該当数計,ＳＮＳ※ＬＩＮＥ、Ｆａｃｅｂｏｏｋなど割合,ＳＮＳ（動画形式）※Ｙｏｕｔｕｂｅ、ツイキャスなど割合,ゲーム割合,学習用割合,その他割合,わからない割合
28,847,90.8,53.6,60.4,17.2,0.8,1.5
27,686,84.5,51.5,70.7,18.8,2.5,1.9
26,697,83.2,48.1,72.0,19.4,11.9,3.4
