その他（主な内容）,件数,（％）
連絡手段として使うため,15,1.5
携帯電話の故障、更新、機種変更のため,13,1.3
学校、部活で必要なため,11,1.1
進学のタイミング（お祝い、約束含む）,11,1.1
その他の回答（店員に勧められた、アプリを使用して連絡を取るため）等,29,2.9
その他　合計,79,8
