年度,該当数計,携帯電話回線、無線ＬＡＮ回線の両方で利用している割合（％）,携帯電話回線のみ、利用している割合（％）,無線ＬＡＮ回線のみ、利用している割合（％）,わからない割合（％）
28,359,55.2,28.1,3.9,12.8
27,463,42.8,40.8,3.9,12.5
26,478,32.8,46.2,2.7,18.2
