区分１,区分２,該当数計,割合計,各携帯電話会社の販売店（ドコモショップ等）該当数,各携帯電話会社の販売店（ドコモショップ等）割合,全携帯電話会社の機種を扱う販売代理店該当数,全携帯電話会社の機種を扱う販売代理店割合,家電量販店該当数,家電量販店割合,インターネット販売該当数,インターネット販売割合,その他該当数,その他割合,わからない該当数,わからない割合
全体,全体,1500,100.0,944,62.9,131,8.7,273,18.2,96,6.4,31,2.1,25,1.7
児童・生徒別,小学生,500,100.0,327,65.4,42,8.4,88,17.6,19,3.8,12,2.4,12,2.4
児童・生徒別,中学生,500,100.0,292,58.4,42,8.4,97,19.4,50,10.0,12,2.4,7,1.4
児童・生徒別,高校生,500,100.0,325,65.0,47,9.4,88,17.6,27,5.4,7,1.4,6,1.2
子供の性別,男性,745,100.0,468,62.8,61,8.2,139,18.7,43,5.8,17,2.3,17,2.3
子供の性別,女性,755,100.0,476,63.0,70,9.3,134,17.7,53,7.0,14,1.9,8,1.1
児童・生徒×子供の性別,小学生男子,232,100.0,148,63.8,16,6.9,48,20.7,7,3.0,6,2.6,7,3.0
児童・生徒×子供の性別,小学生女子,268,100.0,179,66.8,26,9.7,40,14.9,12,4.5,6,2.2,5,1.9
児童・生徒×子供の性別,中学生男子,244,100.0,140,57.4,22,9.0,45,18.4,23,9.4,7,2.9,7,2.9
児童・生徒×子供の性別,中学生女子,256,100.0,152,59.4,20,7.8,52,20.3,27,10.5,5,2.0,0,0.0
児童・生徒×子供の性別,高校生男子,269,100.0,180,66.9,23,8.6,46,17.1,13,4.8,4,1.5,3,1.1
児童・生徒×子供の性別,高校生女子,231,100.0,145,62.8,24,10.4,42,18.2,14,6.1,3,1.3,3,1.3
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,944,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,0,0.0,131,100.0,0,0.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,家電量販店,273,100.0,0,0.0,0,0.0,273,100.0,0,0.0,0,0.0,0,0.0
携帯電話の購入所別,インターネット販売,96,100.0,0,0.0,0,0.0,0,0.0,96,100.0,0,0.0,0,0.0
携帯電話の購入所別,その他,31,100.0,0,0.0,0,0.0,0,0.0,0,0.0,31,100.0,0,0.0
携帯電話の購入所別,わからない,25,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,100.0
フィルタリングサービスの加入状況別,加入している,459,100.0,305,66.4,40,8.7,82,17.9,18,3.9,8,1.7,6,1.3
フィルタリングサービスの加入状況別,加入していない,563,100.0,330,58.6,40,7.1,116,20.6,60,10.7,13,2.3,4,0.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,165,66.3,21,8.4,41,16.5,12,4.8,6,2.4,4,1.6
フィルタリングサービスの加入状況別,わからない,229,100.0,144,62.9,30,13.1,34,14.8,6,2.6,4,1.7,11,4.8
利用制限サービスの加入状況別,加入している,261,100.0,170,65.1,25,9.6,48,18.4,12,4.6,5,1.9,1,0.4
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,103,56.3,19,10.4,40,21.9,14,7.7,6,3.3,1,0.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,167,52.5,29,9.1,62,19.5,51,16.0,8,2.5,1,0.3
利用制限サービスの加入状況別,わからない,85,100.0,52,61.2,12,14.1,12,14.1,3,3.5,1,1.2,5,5.9
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,373,65.0,37,6.4,103,17.9,34,5.9,15,2.6,12,2.1
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,416,61.7,73,10.8,127,18.8,45,6.7,9,1.3,4,0.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,105,61.8,16,9.4,29,17.1,15,8.8,2,1.2,3,1.8
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,44,60.3,5,6.8,13,17.8,2,2.7,3,4.1,6,8.2
利用状況の管理状態別,その他,9,100.0,6,66.7,0,0.0,1,11.1,0,0.0,2,22.2,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,357,64.0,36,6.5,111,19.9,33,5.9,13,2.3,8,1.4
説明・学習経験別,インターネットで調べた,505,100.0,311,61.6,38,7.5,91,18.0,47,9.3,14,2.8,4,0.8
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,345,63.5,45,8.3,92,16.9,44,8.1,12,2.2,5,0.9
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,211,61.0,31,9.0,68,19.7,30,8.7,4,1.2,2,0.6
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,35,59.3,7,11.9,12,20.3,5,8.5,0,0.0,0,0.0
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,60,68.2,5,5.7,17,19.3,4,4.5,1,1.1,1,1.1
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,16,76.2,0,0.0,2,9.5,3,14.3,0,0.0,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,213,63.8,33,9.9,59,17.7,11,3.3,7,2.1,11,3.3
説明・学習経験別,その他,11,100.0,6,54.5,1,9.1,1,9.1,1,9.1,2,18.2,0,0.0
