区分１,区分２,該当数計,作っている割合,作っていない割合
全体,全体,1500,59.7,40.3
児童・生徒別,小学生,500,61.6,38.4
児童・生徒別,中学生,500,69.6,30.4
児童・生徒別,高校生,500,48.0,52.0
子供の性別,男性,745,54.4,45.6
子供の性別,女性,755,65.0,35.0
