区分１,区分２,該当数計,利用する際のマナー（誹謗中傷することは書かない等）割合
全体,全体,896,38.7
児童・生徒別,小学生,308,26.9
児童・生徒別,中学生,348,44.8
児童・生徒別,高校生,240,45.0
子供の性別,男性,405,35.1
子供の性別,女性,491,41.8
