年度,該当数計,利用料金の制限割合,利用する際のマナー（誹謗中傷することは書かない等）割合,利用するサイトやアプリを決めている割合,利用する時間の制限割合,利用する場所の制限割合,メールなどの相手を制限割合,困ったときはすぐに保護者へ相談すること割合,パスワードや利用者情報が漏れないようにすること割合,その他割合
28,896,31.4,38.7,31.8,58.6,29.5,22.8,42.5,25.1,3.7
27,895,36.6,38.2,28.3,54.4,25.0,21.7,41.3,23.4,3.5
26,871,37.8,47.0,41.6,51.0,27.0,26.9,-,-,3.1
