区分１,区分２,該当数計,割合計,有害情報サービスを除去する機能を強化して欲しい該当数,有害情報サービスを除去する機能を強化して欲しい割合,サービスの選択、設定方法をわかりやすくしてほしい該当数,サービスの選択、設定方法をわかりやすくしてほしい割合,できるだけ細かく設定できるようにしてほしい該当数,できるだけ細かく設定できるようにしてほしい割合,有害情報の判断を正確にしてほしい該当数,有害情報の判断を正確にしてほしい割合,今のままでよい該当数,今のままでよい割合,その他該当数,その他割合
全体,全体,1500,100.0,620,41.3,401,26.7,267,17.8,382,25.5,342,22.8,12,0.8
児童・生徒別,小学生,500,100.0,214,42.8,137,27.4,95,19.0,132,26.4,110,22.0,4,0.8
児童・生徒別,中学生,500,100.0,231,46.2,153,30.6,92,18.4,122,24.4,89,17.8,4,0.8
児童・生徒別,高校生,500,100.0,175,35.0,111,22.2,80,16.0,128,25.6,143,28.6,4,0.8
子どもの性別,男性,745,100.0,299,40.1,177,23.8,128,17.2,183,24.6,174,23.4,7,0.9
子どもの性別,女性,755,100.0,321,42.5,224,29.7,139,18.4,199,26.4,168,22.3,5,0.7
児童・生徒×子どもの性別,小学生男子,232,100.0,97,41.8,60,25.9,44,19.0,57,24.6,55,23.7,2,0.9
児童・生徒×子どもの性別,小学生女子,268,100.0,117,43.7,77,28.7,51,19.0,75,28.0,55,20.5,2,0.7
児童・生徒×子どもの性別,中学生男子,244,100.0,113,46.3,70,28.7,44,18.0,53,21.7,41,16.8,2,0.8
児童・生徒×子どもの性別,中学生女子,256,100.0,118,46.1,83,32.4,48,18.8,69,27.0,48,18.8,2,0.8
児童・生徒×子どもの性別,高校生男子,269,100.0,89,33.1,47,17.5,40,14.9,73,27.1,78,29.0,3,1.1
児童・生徒×子どもの性別,高校生女子,231,100.0,86,37.2,64,27.7,40,17.3,55,23.8,65,28.1,1,0.4
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,417,44.2,252,26.7,166,17.6,237,25.1,204,21.6,5,0.5
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,48,36.6,37,28.2,25,19.1,35,26.7,28,21.4,0,0.0
携帯電話の購入場所別,家電量販店,273,100.0,112,41.0,81,29.7,49,17.9,64,23.4,63,23.1,4,1.5
携帯電話の購入場所別,インターネット販売,96,100.0,30,31.3,24,25.0,20,20.8,28,29.2,23,24.0,3,3.1
携帯電話の購入場所別,その他,31,100.0,10,32.3,6,19.4,4,12.9,12,38.7,10,32.3,0,0.0
携帯電話の購入場所別,わからない,25,100.0,3,12.0,1,4.0,3,12.0,6,24.0,14,56.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,268,58.4,147,32.0,89,19.4,122,26.6,43,9.4,0,0.0
フィルタリングサービスの加入状況別,加入していない,563,100.0,162,28.8,153,27.2,98,17.4,124,22.0,175,31.1,7,1.2
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,108,43.4,60,24.1,57,22.9,74,29.7,51,20.5,3,1.2
フィルタリングサービスの加入状況別,わからない,229,100.0,82,35.8,41,17.9,23,10.0,62,27.1,73,31.9,2,0.9
利用制限サービスの加入状況別,加入している,261,100.0,151,57.9,84,32.2,54,20.7,64,24.5,27,10.3,0,0.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,90,49.2,57,31.1,34,18.6,51,27.9,24,13.1,2,1.1
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,81,25.5,81,25.5,53,16.7,81,25.5,100,31.4,4,1.3
利用制限サービスの加入状況別,わからない,85,100.0,28,32.9,14,16.5,11,12.9,25,29.4,26,30.6,1,1.2
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,257,44.8,132,23.0,100,17.4,145,25.3,148,25.8,5,0.9
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,290,43.0,224,33.2,131,19.4,170,25.2,106,15.7,4,0.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,63,37.1,36,21.2,30,17.6,50,29.4,39,22.9,1,0.6
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,6,8.2,7,9.6,5,6.8,12,16.4,48,65.8,1,1.4
利用状況の管理状態別,その他,9,100.0,4,44.4,2,22.2,1,11.1,5,55.6,1,11.1,1,11.1
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,266,47.7,168,30.1,104,18.6,160,28.7,93,16.7,3,0.5
説明・学習経験別,インターネットで調べた,505,100.0,249,49.3,129,25.5,94,18.6,131,25.9,90,17.8,2,0.4
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,270,49.7,187,34.4,117,21.5,159,29.3,68,12.5,6,1.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,168,48.6,117,33.8,73,21.1,109,31.5,45,13.0,7,2.0
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,29,49.2,18,30.5,15,25.4,16,27.1,7,11.9,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,48,54.5,36,40.9,22,25.0,25,28.4,6,6.8,1,1.1
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,13,61.9,5,23.8,4,19.0,6,28.6,1,4.8,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,89,26.6,63,18.9,38,11.4,73,21.9,142,42.5,1,0.3
説明・学習経験別,その他,11,100.0,1,9.1,2,18.2,4,36.4,1,9.1,5,45.5,1,9.1
