区分１,区分２,該当数計,子供といつでも連絡が取れるようにするため割合
全体,全体,510,87.3
児童・生徒別,小学生,366,89.1
児童・生徒別,中学生,122,84.4
児童・生徒別,高校生,22,72.7
子供の性別,男性,250,86.0
子供の性別,女性,260,88.5
