年度,該当数計,スマートフォンに依存してしまう割合（％）,ＳＮＳを使用し、友達とトラブルになる割合（％）,有害なサイトを閲覧するかもしれない割合（％）,出会い系アプリ等で、知らない人と知り合いになれてしまう割合（％）,高額の料金を請求されてしまう割合（％）,自分の写真をアップして、トラブルに巻き込まれる割合（％）,不安なことはない割合（％）,その他割合（％）
28,990,62.3,41.3,38.1,36.5,28.4,25.5,13.3,0.9
27,856,59.8,41.6,40.0,38.9,30.1,25.0,11.0,0.2
26,791,63.3,47.3,-,37.9,30.7,27.1,15.7,2.8
