その他（主な内容）,件数,（％）
様子がおかしいことに家族が気づいた,7,4.8
喧嘩になった,2,1.4
使用時間が長い時,2,1.4
その他の回答（アプリ等内容を見て）等,6,4.1
その他　合計,17,11.7
