年度,該当数計,子供の所在地を検索できる機能割合（％）,緊急時に位置情報を知らせてくることができる機能割合（％）,迷惑メール防止機能割合（％）,料金上限設定機能割合（％）,メール機能割合（％）,利用時間制限機能割合（％）,ＳＮＳ監視機能割合（％）,非常ブザー等防犯機能割合（％）,メール相手の制限設定機能割合（％）,通話相手の制限設定機能割合（％）,インターネット機能割合（％）,あてはまるものはない割合（％）,その他割合（％）
28,1500,59.3,58.6,53.0,49.8,47.6,35.9,33.7,30.7,23.4,23.1,18.2,-,1.5
27,1500,60.2,62.2,56.8,50.9,53.4,41.7,32.5,34.5,27.1,26.4,17.9,-,0.5
26,1500,59.1,63.1,59.5,53.7,48.5,43.2,37.8,35.3,32.2,30.4,21.2,7.1,0.6
