区分１,区分２,該当数計,困ったときはすぐに保護者へ相談すること割合
全体,全体,896,42.5
児童・生徒別,小学生,308,41.6
児童・生徒別,中学生,348,45.1
児童・生徒別,高校生,240,40.0
子供の性別,男性,405,38.0
子供の性別,女性,491,46.2
