区分１,区分２,該当数計,利用している割合,利用していない割合,わからない割合
全体,全体,990,85.6,9.0,5.5
児童・生徒別,小学生,134,79.1,17.9,3.0
児童・生徒別,中学生,378,85.4,9.3,5.3
児童・生徒別,高校生,478,87.4,6.3,6.3
子供の性別,男性,495,84.4,9.5,6.1
子供の性別,女性,495,86.7,8.5,4.8
