区分１,区分２,該当数計,サービスの選択、設定方法をわかりやすくしてほしい割合（％）
全体,全体,1500,26.7
児童・生徒別,小学生,500,27.4
児童・生徒別,中学生,500,30.6
児童・生徒別,高校生,500,22.2
性別,男子,745,23.8
性別,女子,755,29.7
