区分１,区分２,該当数計,子供にせがまれたため仕方なく持たせた割合
全体,全体,990,34.0
児童・生徒別,小学生,134,17.2
児童・生徒別,中学生,378,37.6
児童・生徒別,高校生,478,36.0
子供の性別,男性,495,32.3
子供の性別,女性,495,35.8
