区分１,区分２,該当数計,作っている割合（％）,作っていない割合（％）,わからない割合（％）
全体,全体,1500,12.0,43.1,44.9
児童・生徒別,小学生,500,15.4,53.4,31.2
児童・生徒別,中学生,500,13.8,38.2,48.0
児童・生徒別,高校生,500,6.8,37.6,55.6
性別,男子,745,9.8,44.7,45.5
性別,女子,755,14.2,41.5,44.4
