年度,該当数計,割合計,各携帯電話会社の販売店（ドコモショップ等）割合,全携帯電話会社の機種を扱う販売代理店割合,家電量販店割合,インターネット販売割合,その他割合,わからない割合
28,1500,100.0,62.9,8.7,18.2,6.4,2.1,1.7
27,1500,100.0,63.2,10.2,20.4,3.4,1.1,1.7
26,1500,100.0,63.4,10.6,21.1,2.1,1.9,0.9
